latin_name,role,es_relevant,is_deadly_set,notes
Amanita phalloides,deadly,True,True,orientation_only_never_consume
Amanita virosa,deadly,True,True,orientation_only_never_consume
Amanita muscaria,deadly,True,True,orientation_only_never_consume
Amanita pantherina,deadly,True,True,orientation_only_never_consume
Amanita citrina,lookalike_deadly,True,False,orientation_only_never_consume
Amanita rubescens,lookalike_deadly,True,False,orientation_only_never_consume
Galerina marginata,deadly,True,True,orientation_only_never_consume
Kuehneromyces mutabilis,lookalike_deadly,True,False,orientation_only_never_consume
Gyromitra esculenta,deadly,True,True,orientation_only_never_consume
Cortinarius rubellus,deadly,True,True,orientation_only_never_consume
Hypholoma fasciculare,deadly,True,True,orientation_only_never_consume
Lepiota castanea,deadly,True,True,orientation_only_never_consume
Lepiota subincarnata,deadly,True,True,orientation_only_never_consume
Lepiota cristata,lookalike_deadly,True,False,orientation_only_never_consume
Paxillus involutus,deadly,True,True,orientation_only_never_consume
Agaricus campestris,common,True,False,orientation_only_never_consume
Boletus edulis,common,True,False,orientation_only_never_consume
Imleria badia,common,True,False,orientation_only_never_consume
Suillus luteus,common,True,False,orientation_only_never_consume
Suillus grevillei,common,True,False,orientation_only_never_consume
Leccinum scabrum,common,True,False,orientation_only_never_consume
Craterellus tubaeformis,common,True,False,orientation_only_never_consume
Lactarius deterrimus,common,True,False,orientation_only_never_consume
Lepista nuda,common,True,False,orientation_only_never_consume
Marasmius oreades,common,True,False,orientation_only_never_consume
Coprinus comatus,common,True,False,orientation_only_never_consume
Pleurotus ostreatus,common,True,False,orientation_only_never_consume
Chlorophyllum olivieri,common,True,False,orientation_only_never_consume
Armillaria lutea,common,True,False,orientation_only_never_consume
Laccaria laccata,common,True,False,orientation_only_never_consume
Laccaria amethystina,common,True,False,orientation_only_never_consume
Russula ochroleuca,common,True,False,orientation_only_never_consume
Hygrophoropsis aurantiaca,common,True,False,orientation_only_never_consume
Clitocybe nebularis,common,True,False,orientation_only_never_consume
Pluteus cervinus,common,True,False,orientation_only_never_consume
Trametes versicolor,common,True,False,orientation_only_never_consume
Fomitopsis pinicola,common,True,False,orientation_only_never_consume
Laetiporus sulphureus,common,True,False,orientation_only_never_consume
Phallus impudicus,common,True,False,orientation_only_never_consume
Scleroderma citrinum,common,True,False,orientation_only_never_consume
